,time
0,malem
1,pagi
2,sore
3,malem
4,malam
5,pagi
6,malam
7,sejam
8,menitan<>/time lebihchaidiradlan sering dapat cerita dari supir gocar ttg akun driver yg di suspend krn terdeteksi buat fake trips sampai skrg bingungmemasuki masa di mana lagi susah susahnya ngorder gojek dan grab di bali karena masih pada mudik plus ditambah ujan terusgungwayoga aku jg butuh mkan gk kasian kah mereka  utk para user gojek yg kelaparannadiaprmata helmnya basah helmnya bau itu kalo gojek sihni online kayak primitif saja memalukan mentang jumlahnya banyak suka2an jijik sama online grab dan gojek ini delete aplikasi ajasejijik jijik nya sama liga indonesia gojek travelokaasli jijik kang gojek oh kang gojek menit menit pertama mbak suaranya berathanbinirama gk mao ah masa cecan naek gojekbeberapa kali pake aplikasi gojek/gofood di jogja kok yoo setiap ngomong ramah-ramah bgt ya ini gw nya yg emang nobaru tau ternyata gojek bisa di carter beliau pernah di carter dari malang sampe ke situbondobtw tadi pagi mas gojek yang jemput di stasiun poncol mirip mantanku kagetterkejut malam ini liat high fare @gojekindonesia normalnya cuma ribu high fare ribu sekarang ributerkejut karena tiba tiba ada abang gojek dateng jam setengah sebelas malem gataunya nganterin kado
9,menit menit pertama
10,malam
11,jam setengah sebelas malem
